sample_id,green_butterflies,green_frogs,green_snails,yellow_butterflies,yellow_frogs,yellow_snails,red_butterflies,red_frogs,red_snails
1,2,2,4,0,3,1,2,2,2
2,3,2,4,1,4,1,2,1,2
3,4,0,1,2,3,2,2,2,3
4,2,1,1,1,3,2,4,1,4
5,1,2,4,3,2,1,1,3,1
6,4,3,2,1,2,1,2,3,1
7,0,3,2,3,1,1,3,3,3
8,0,2,0,6,0,2,4,3,2
9,1,1,5,1,2,1,2,3,3
10,0,3,0,3,0,3,5,1,1
11,1,2,2,4,0,1,4,3,3
12,2,3,3,1,0,2,2,2,4
13,2,3,2,6,1,1,2,1,0
14,3,1,1,1,6,1,3,0,2
15,1,2,2,3,3,1,4,1,3
16,0,1,7,3,1,1,1,4,2
17,4,2,3,0,2,0,6,0,2
18,2,2,3,3,1,3,3,1,1
19,2,1,1,1,2,0,1,7,3
20,3,1,1,3,2,2,0,2,3
21,3,2,1,0,1,1,3,4,2
22,0,3,1,1,2,3,2,4,3
23,2,3,0,5,1,2,3,2,1
24,3,1,0,0,2,4,3,4,3
25,2,4,1,0,3,2,0,4,2
26,2,1,1,2,1,3,1,5,2
27,0,2,1,1,2,4,3,5,1
28,2,0,1,1,2,5,3,6,0
29,3,0,4,2,1,1,0,5,3
30,6,1,0,4,3,1,1,1,3
